file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,81fbe915,vmlau,2025-10-09,20:30:31,-07:00,2025-10-09T20:30:31-07:00,0,4
style.css,2,css,94986e0a,vmlau,2025-10-09,20:42:29,-07:00,2025-10-09T20:42:29-07:00,2,45
style.css,3,css,cccce766,vmlau,2025-10-16,17:25:38,-07:00,2025-10-16T17:25:38-07:00,2,23
style.css,4,css,94986e0a,vmlau,2025-10-09,20:42:29,-07:00,2025-10-09T20:42:29-07:00,1,0
style.css,5,css,94986e0a,vmlau,2025-10-09,20:42:29,-07:00,2025-10-09T20:42:29-07:00,0,0
style.css,6,css,c9612b1d,vmlau,2025-10-01,13:46:30,-07:00,2025-10-01T13:46:30-07:00,0,4
style.css,7,css,c9612b1d,vmlau,2025-10-01,13:46:30,-07:00,2025-10-01T13:46:30-07:00,1,23
style.css,8,css,4a769fe0,vmlau,2025-10-09,19:52:17,-07:00,2025-10-09T19:52:17-07:00,1,15
style.css,9,css,25b86c77,vmlau,2025-10-09,19:42:02,-07:00,2025-10-09T19:42:02-07:00,1,18
style.css,10,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,1,15
style.css,11,css,4a769fe0,vmlau,2025-10-09,19:52:17,-07:00,2025-10-09T19:52:17-07:00,0,0
style.css,12,css,4a769fe0,vmlau,2025-10-09,19:52:17,-07:00,2025-10-09T19:52:17-07:00,0,0
style.css,13,css,83255af3,vmlau,2025-10-10,19:45:34,-07:00,2025-10-10T19:45:34-07:00,0,3
style.css,14,css,1c2b17db,vmlau,2025-10-10,20:43:56,-07:00,2025-10-10T20:43:56-07:00,1,14
style.css,15,css,83255af3,vmlau,2025-10-10,19:45:34,-07:00,2025-10-10T19:45:34-07:00,1,11
style.css,16,css,1c2b17db,vmlau,2025-10-10,20:43:56,-07:00,2025-10-10T20:43:56-07:00,1,13
style.css,17,css,1c2b17db,vmlau,2025-10-10,20:43:56,-07:00,2025-10-10T20:43:56-07:00,0,0
style.css,18,css,1c2b17db,vmlau,2025-10-10,20:43:56,-07:00,2025-10-10T20:43:56-07:00,0,0
style.css,19,css,1c2b17db,vmlau,2025-10-10,20:43:56,-07:00,2025-10-10T20:43:56-07:00,0,9
style.css,20,css,1c2b17db,vmlau,2025-10-10,20:43:56,-07:00,2025-10-10T20:43:56-07:00,1,13
style.css,21,css,1c2b17db,vmlau,2025-10-10,20:43:56,-07:00,2025-10-10T20:43:56-07:00,1,10
style.css,22,css,1c2b17db,vmlau,2025-10-10,20:43:56,-07:00,2025-10-10T20:43:56-07:00,1,18
style.css,23,css,1c2b17db,vmlau,2025-10-10,20:43:56,-07:00,2025-10-10T20:43:56-07:00,1,13
style.css,24,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,0,0
style.css,25,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,0,0
style.css,26,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,0,3
style.css,27,css,cccce766,vmlau,2025-10-16,17:25:38,-07:00,2025-10-16T17:25:38-07:00,1,39
style.css,28,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,1,12
style.css,29,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,0,0
style.css,30,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,0,0
style.css,31,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,0,5
style.css,32,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,1,6
style.css,33,css,d28ac218,vmlau,2025-10-09,20:18:26,-07:00,2025-10-09T20:18:26-07:00,1,17
style.css,34,css,d28ac218,vmlau,2025-10-09,20:18:26,-07:00,2025-10-09T20:18:26-07:00,1,13
style.css,35,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,1,20
style.css,36,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,1,13
style.css,37,css,d28ac218,vmlau,2025-10-09,20:18:26,-07:00,2025-10-09T20:18:26-07:00,1,17
style.css,38,css,cccce766,vmlau,2025-10-16,17:25:38,-07:00,2025-10-16T17:25:38-07:00,1,43
style.css,39,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,0,0
style.css,40,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,0,0
style.css,41,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,0,13
style.css,42,css,3ebb8bd8,vmlau,2025-10-17,16:51:36,-07:00,2025-10-17T16:51:36-07:00,1,45
style.css,43,css,88a1b203,vmlau,2025-10-09,20:34:50,-07:00,2025-10-09T20:34:50-07:00,1,21
style.css,44,css,e1b4464f,vmlau,2025-10-09,20:09:39,-07:00,2025-10-09T20:09:39-07:00,1,15
style.css,45,css,81fbe915,vmlau,2025-10-09,20:30:31,-07:00,2025-10-09T20:30:31-07:00,0,0
style.css,46,css,81fbe915,vmlau,2025-10-09,20:30:31,-07:00,2025-10-09T20:30:31-07:00,0,0
style.css,47,css,88a1b203,vmlau,2025-10-09,20:34:50,-07:00,2025-10-09T20:34:50-07:00,0,11
style.css,48,css,289de833,vmlau,2025-10-16,17:29:15,-07:00,2025-10-16T17:29:15-07:00,1,71
style.css,49,css,81fbe915,vmlau,2025-10-09,20:30:31,-07:00,2025-10-09T20:30:31-07:00,1,45
style.css,50,css,81fbe915,vmlau,2025-10-09,20:30:31,-07:00,2025-10-09T20:30:31-07:00,1,21
style.css,51,css,81fbe915,vmlau,2025-10-09,20:30:31,-07:00,2025-10-09T20:30:31-07:00,1,15
style.css,52,css,27eae2f5,vmlau,2025-10-09,21:01:07,-07:00,2025-10-09T21:01:07-07:00,0,0
style.css,53,css,27eae2f5,vmlau,2025-10-09,21:01:07,-07:00,2025-10-09T21:01:07-07:00,0,0
style.css,54,css,9999d6b1,vmlau,2025-10-09,21:20:02,-07:00,2025-10-09T21:20:02-07:00,0,4
style.css,55,css,9999d6b1,vmlau,2025-10-09,21:20:02,-07:00,2025-10-09T21:20:02-07:00,1,12
style.css,56,css,14df4e97,vmlau,2025-10-09,21:25:00,-07:00,2025-10-09T21:25:00-07:00,1,30
style.css,57,css,f0d4433e,vmlau,2025-10-10,20:58:36,-07:00,2025-10-10T20:58:36-07:00,1,18
style.css,58,css,14df4e97,vmlau,2025-10-09,21:25:00,-07:00,2025-10-09T21:25:00-07:00,1,7
style.css,59,css,9999d6b1,vmlau,2025-10-09,21:20:02,-07:00,2025-10-09T21:20:02-07:00,0,0
style.css,60,css,9999d6b1,vmlau,2025-10-09,21:20:02,-07:00,2025-10-09T21:20:02-07:00,0,0
style.css,61,css,cccce766,vmlau,2025-10-16,17:25:38,-07:00,2025-10-16T17:25:38-07:00,0,31
style.css,62,css,27eae2f5,vmlau,2025-10-09,21:01:07,-07:00,2025-10-09T21:01:07-07:00,1,12
style.css,63,css,66e53f87,vmlau,2025-10-10,16:54:05,-07:00,2025-10-10T16:54:05-07:00,0,0
